Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,277.19000244140625,277.4599914550781,271.989990234375,272.57000732421875,250.7455291748047,99673600
2018-11-13,273.0899963378906,275.3299865722656,271.25,272.05999755859375,250.27633666992188,98176600
2018-11-14,274.1600036621094,274.6099853515625,268.45001220703125,270.20001220703125,248.5652313232422,125335900
2018-11-15,268.7799987792969,273.5400085449219,267.010009765625,273.0199890136719,251.15940856933594,135101400
2018-11-16,271.7900085449219,274.75,271.2099914550781,273.7300109863281,251.81260681152344,126668000
2018-11-19,273.04998779296875,273.3800048828125,268.07000732421875,269.1000061035156,247.55337524414062,103061700
2018-11-20,265.3599853515625,267.0,263.1499938964844,264.1199951171875,242.97206115722656,136021300
2018-11-21,265.8599853515625,267.1499938964844,265.010009765625,265.0199890136719,243.800048828125,75563700
2018-11-23,263.17999267578125,264.82000732421875,263.07000732421875,263.25,242.17172241210938,42807900
2018-11-26,265.7799987792969,267.75,265.3399963378906,267.5,246.0814666748047,79981400
2018-11-27,266.3399963378906,268.3999938964844,265.6600036621094,268.3999938964844,246.90939331054688,75502400
2018-11-28,269.6000061035156,274.5799865722656,268.3299865722656,274.5799865722656,252.59446716308594,127629600
2018-11-29,273.7099914550781,275.54998779296875,272.42999267578125,273.9800109863281,252.04258728027344,82346400
2018-11-30,273.80999755859375,276.2799987792969,273.45001220703125,275.6499938964844,253.57888793945312,98204200
2018-12-03,280.2799987792969,280.3999938964844,277.510009765625,279.29998779296875,256.93658447265625,103176300
2018-12-04,278.3699951171875,278.8500061035156,269.8999938964844,270.25,248.61126708984375,177986000
2018-12-06,265.9200134277344,269.9700012207031,262.44000244140625,269.8399963378906,248.23411560058594,204185400
2018-12-07,269.4599914550781,271.2200012207031,262.6300048828125,263.57000732421875,242.46612548828125,161018900
2018-12-10,263.3699951171875,265.1600036621094,258.6199951171875,264.07000732421875,242.9261016845703,151445900
2018-12-11,267.6600036621094,267.8699951171875,262.4800109863281,264.1300048828125,242.98129272460938,121504400
