,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,40.69598388671875,82.05149841308594,51.977500915527344,141.85000610351562,102.16715240478516,37.670108795166016,24.343332290649414,42.400001525878906,82.05149841308594,51.977500915527344,141.85000610351562,107.58999633789062,37.96500015258789,24.343332290649414,42.522499084472656,82.89949798583984,52.42250061035156,143.0500030517578,107.9800033569336,38.21500015258789,24.398666381835938,40.83250045776367,79.54350280761719,51.16450119018555,139.00999450683594,103.88999938964844,36.412498474121094,23.541332244873047,41.25,81.19200134277344,51.752498626708984,139.60000610351562,104.80000305175781,36.45000076293945,24.0,248104000,149896000,36154000,26422200,40801500,62947200,99202500
2018-12-11,40.463226318359375,82.16200256347656,52.587501525878906,142.0800018310547,103.11674499511719,36.75973129272461,24.450666427612305,42.157501220703125,82.16200256347656,52.587501525878906,142.0800018310547,108.58999633789062,37.04750061035156,24.450666427612305,42.9474983215332,83.97350311279297,53.029998779296875,143.8800048828125,110.94999694824219,38.97249984741211,24.81133270263672,41.75,80.9800033569336,51.992000579833984,141.10000610351562,107.44000244140625,36.25,24.01533317565918,42.915000915527344,83.9000015258789,52.824501037597656,143.8800048828125,109.80000305175781,38.88999938964844,24.660667419433594,189126800,124894000,27894000,20300300,42381900,67191200,94632000
2018-12-12,40.57600784301758,83.177001953125,53.183998107910156,144.5,103.5820541381836,36.93583679199219,24.440000534057617,42.275001525878906,83.177001953125,53.183998107910156,144.5,109.08000183105469,37.224998474121094,24.440000534057617,42.97999954223633,85.24949645996094,54.08250045776367,147.19000244140625,111.2699966430664,38.19499969482422,24.79400062561035,42.255001068115234,83.01349639892578,53.13949966430664,142.50999450683594,109.04000091552734,36.20500183105469,24.3439998626709,42.599998474121094,83.44999694824219,53.400001525878906,143.0800018310547,110.88999938964844,37.10499954223633,24.628000259399414,142510800,131960000,30476000,23696900,36183000,65413600,75405000
2018-12-13,41.01991271972656,82.91899871826172,53.095001220703125,145.00999450683594,103.93342590332031,36.93337631225586,25.119333267211914,42.73749923706055,82.91899871826172,53.095001220703125,145.00999450683594,109.44999694824219,37.22249984741211,25.119333267211914,43.14250183105469,84.60600280761719,53.987998962402344,145.85000610351562,110.87000274658203,38.345001220703125,25.16266632080078,42.38750076293945,82.07499694824219,52.69649887084961,143.19000244140625,108.62999725341797,36.86000061035156,24.450000762939453,42.622501373291016,84.0,53.403499603271484,145.57000732421875,109.58000183105469,37.6974983215332,24.676666259765625,127594400,105426000,26596000,18148600,31333400,47138400,110488500
2018-12-14,39.70737075805664,79.59549713134766,52.10499954223633,144.05999755859375,100.68577575683594,36.3281135559082,24.380666732788086,41.369998931884766,79.59549713134766,52.10499954223633,144.05999755859375,106.02999877929688,36.61249923706055,24.380666732788086,42.27000045776367,82.12850189208984,53.130001068115234,146.00999450683594,109.26000213623047,37.647499084472656,25.191333770751953,41.31999969482422,79.25,52.03950119018555,142.50999450683594,105.5,36.375,24.288667678833008,42.25,81.9000015258789,52.499000549316406,143.33999633789062,108.25,36.8025016784668,25.0,162814800,127344000,33732000,21785800,47043100,47182000,95064000
2018-12-17,39.33784103393555,76.04550170898438,50.826499938964844,140.19000244140625,97.70404815673828,35.61617660522461,23.22800064086914,40.98500061035156,76.04550170898438,50.826499938964844,140.19000244140625,102.88999938964844,35.89500045776367,23.22800064086914,42.087501525878906,78.80650329589844,52.657501220703125,144.9199981689453,105.80000305175781,37.037498474121094,24.3799991607666,40.682498931884766,75.25050354003906,50.39500045776367,138.4199981689453,101.70999908447266,35.310001373291016,22.92533302307129,41.36249923706055,78.30000305175781,51.8754997253418,143.0800018310547,105.41000366210938,36.310001373291016,24.133333206176758,177151600,176596000,47708000,24334000,56957300,66286800,115110000
2018-12-18,39.84894561767578,77.5739974975586,51.43550109863281,143.66000366210938,98.72960662841797,36.44966506958008,22.468666076660156,41.51750183105469,77.5739974975586,51.43550109863281,143.66000366210938,103.97000122070312,36.73500061035156,22.468666076660156,41.88249969482422,78.37750244140625,52.4739990234375,145.92999267578125,104.51000213623047,37.58250045776367,23.43666648864746,41.09749984741211,76.15049743652344,51.071998596191406,139.8300018310547,102.5199966430664,36.0625,22.246000289916992,41.345001220703125,77.0,51.304500579833984,141.0800018310547,103.75,36.337501525878906,23.369333267211914,135366000,130460000,43850000,24709100,49319200,56437200,106500000
2018-12-19,38.605987548828125,74.75399780273438,51.1505012512207,133.24000549316406,98.46372985839844,34.358516693115234,22.197999954223633,40.22249984741211,74.75399780273438,51.1505012512207,133.24000549316406,103.69000244140625,34.627498626708984,22.197999954223633,41.86249923706055,79.22650146484375,53.099998474121094,144.91000366210938,106.87999725341797,36.935001373291016,23.134000778198242,39.772499084472656,74.15899658203125,50.40250015258789,132.5,101.3499984741211,34.10749816894531,21.982667922973633,41.5,77.15249633789062,51.699501037597656,141.2100067138672,103.6500015258789,36.39500045776367,22.50666618347168,196189200,175844000,49586000,57404900,68198200,74536400,124113000
